Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.03     0.00        1     0.00     0.00  update_remote_branch
  0.00      0.03     0.00        1     0.00     0.00  wt_status_collect_changes_index

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 33.33% of 0.03 seconds

index % time    self  children    called     name
                0.00    0.01    1000/1000        add_to_index [4]
[1]     33.3    0.00    0.01    1000         index_cb [1]
                0.01    0.00    1000/1000        seaf_fs_manager_index_blocks [2]
-----------------------------------------------
                0.01    0.00    1000/1000        index_cb [1]
[2]     33.3    0.01    0.00    1000         seaf_fs_manager_index_blocks [2]
                0.00    0.00    1000/1000        verify_fs_object_json [35]
-----------------------------------------------
                                                 <spontaneous>
[3]     33.3    0.01    0.00                 add_index_entry [3]
-----------------------------------------------
                                                 <spontaneous>
[4]     33.3    0.00    0.01                 add_to_index [4]
                0.00    0.01    1000/1000        index_cb [1]
-----------------------------------------------
                                                 <spontaneous>
[5]     33.3    0.01    0.00                 seafile_repo_get_type [5]
-----------------------------------------------
                0.00    0.00    3000/3000        seaf_dir_free [81]
[6]      0.0    0.00    0.00    3000         seaf_dirent_free [6]
-----------------------------------------------
                0.00    0.00       1/2013        seaf_transfer_manager_start [180]
                0.00    0.00       1/2013        release_resource [696]
                0.00    0.00       1/2013        calculate_send_object_list_done [265]
                0.00    0.00       1/2013        calculate_send_object_list [264]
                0.00    0.00       1/2013        start [1341]
                0.00    0.00       2/2013        handle_response [456]
                0.00    0.00       3/2013        send_object_list_segment [1314]
                0.00    0.00    2003/2013        send_next_object [13]
[7]      0.0    0.00    0.00    2013         seafile_sendfs_v2_proc_get_type [7]
-----------------------------------------------
                0.00    0.00    1000/2000        do_write_chunk [21]
                0.00    0.00    1000/2000        transfer_next_block [16]
[8]      0.0    0.00    0.00    2000         seaf_block_manager_block_handle_free [8]
-----------------------------------------------
                0.00    0.00    1000/2000        do_write_chunk [21]
                0.00    0.00    1000/2000        transfer_next_block [16]
[9]      0.0    0.00    0.00    2000         seaf_block_manager_close_block [9]
-----------------------------------------------
                0.00    0.00    1000/2000        do_write_chunk [21]
                0.00    0.00    1000/2000        transfer_next_block [16]
[10]     0.0    0.00    0.00    2000         seaf_block_manager_open_block [10]
-----------------------------------------------
                0.00    0.00       1/1421        handle_response [455]
                0.00    0.00       2/1421        seaf_fs_manager_get_seafdir [83]
                0.00    0.00     418/1421        load_commit [48]
                0.00    0.00    1000/1421        seaf_fs_manager_get_seafile [38]
[11]     0.0    0.00    0.00    1421         seaf_obj_store_read_obj [11]
-----------------------------------------------
                0.00    0.00       1/1002        seaf_dir_save [153]
                0.00    0.00       1/1002        seaf_commit_manager_add_commit [146]
                0.00    0.00    1000/1002        verify_fs_object_json [35]
[12]     0.0    0.00    0.00    1002         seaf_obj_store_write_obj [12]
-----------------------------------------------
                0.00    0.00       1/1002        send_object_list_segment [1314]
                0.00    0.00    1001/1002        on_read_done [642]
[13]     0.0    0.00    0.00    1002         send_next_object [13]
                0.00    0.00    2003/2013        seafile_sendfs_v2_proc_get_type [7]
                0.00    0.00    1001/1001        seaf_obj_store_async_read [15]
-----------------------------------------------
                0.00    0.00    1001/1001        on_read_done [642]
[14]     0.0    0.00    0.00    1001         fs_object_read_cb [14]
-----------------------------------------------
                0.00    0.00    1001/1001        send_next_object [13]
[15]     0.0    0.00    0.00    1001         seaf_obj_store_async_read [15]
-----------------------------------------------
                0.00    0.00       1/1001        handle_auth_rsp_content_cb [128]
                0.00    0.00    1000/1001        handle_block_header_content_cb [22]
[16]     0.0    0.00    0.00    1001         transfer_next_block [16]
                0.00    0.00    1000/1000        send_block_header [32]
                0.00    0.00    1000/2000        seaf_block_manager_open_block [10]
                0.00    0.00    1000/1000        send_encrypted_block [33]
                0.00    0.00    1000/2000        seaf_block_manager_close_block [9]
